title,neighbor_title,rank,wasserstein2_distance
베이비 드래곤,고삼무쌍,3,0.537872850894928
베이비 드래곤,사랑을 피하여,4,0.5529656410217285
베이비 드래곤,청소하실 레옹?,5,0.5636409521102905
베이비 드래곤,포근한 그 남자,6,0.5642646551132202
베이비 드래곤,악녀에게 의리가 어디 있어,7,0.5695967674255371
베이비 드래곤,환생소녀,8,0.5722820162773132
베이비 드래곤,어느날 절친이 남자가 되어버렸다,9,0.572982668876648
베이비 드래곤,회귀했더니 가문이 망했다,10,0.5740774273872375
보이지 않는 사람,편지창조,1,0.3576216697692871
보이지 않는 사람,강도하 청춘 시리즈,2,0.3810105323791504
보이지 않는 사람,40억 vs 1,3,0.3816455900669098
보이지 않는 사람,신농사직설,4,0.3842676281929016
보이지 않는 사람,환생소녀,5,0.4076066017150879
보이지 않는 사람,사랑을 피하여,6,0.4098401367664337
보이지 않는 사람,너에게 하고 싶은 말,7,0.41375359892845154
보이지 않는 사람,다정종합병원,8,0.42921018600463867
보이지 않는 사람,야수,9,0.43372365832328796
보이지 않는 사람,내 최애가 위험해,10,0.4342251718044281
붉은실 월하,상자 속 1/36,1,0.23582163453102112
붉은실 월하,포근한 그 남자,2,0.2880586087703705
붉은실 월하,환생소녀,3,0.3008989691734314
붉은실 월하,악녀로 살라신다,4,0.3013775944709778
붉은실 월하,어느날 절친이 남자가 되어버렸다,5,0.3082652986049652
붉은실 월하,너에게 하고 싶은 말,6,0.3089918792247772
붉은실 월하,청소하실 레옹?,7,0.3221238851547241
붉은실 월하,오빠야 누나야,8,0.34342750906944275
붉은실 월하,회귀했더니 가문이 망했다,9,0.3442755341529846
붉은실 월하,다정종합병원,10,0.35832923650741577
빨간자전거(인터넷연재판),오세영 창작 극화 시리즈,1,0.4122143089771271
빨간자전거(인터넷연재판),강도하 청춘 시리즈,2,0.44162845611572266
빨간자전거(인터넷연재판),40억 vs 1,3,0.4590737223625183
빨간자전거(인터넷연재판),신농사직설,4,0.4642155170440674
빨간자전거(인터넷연재판),편지창조,5,0.46759769320487976
빨간자전거(인터넷연재판),이현세 극화시리즈,6,0.4722348749637604
빨간자전거(인터넷연재판),보이지 않는 사람,7,0.48015689849853516
빨간자전거(인터넷연재판),임꺽정 (완전판),8,0.49421611428260803
빨간자전거(인터넷연재판),몽홀,9,0.4944877326488495
빨간자전거(인터넷연재판),너에게 하고 싶은 말,10,0.5074114203453064
사랑을 피하여,환생소녀,1,0.26473677158355713
사랑을 피하여,내 최애가 위험해,2,0.2881666123867035
사랑을 피하여,포근한 그 남자,3,0.2951376736164093
사랑을 피하여,너에게 하고 싶은 말,4,0.3139452040195465
사랑을 피하여,오빠야 누나야,5,0.329852819442749
사랑을 피하여,마이 러블리 투투,6,0.3355952203273773
사랑을 피하여,어느날 절친이 남자가 되어버렸다,7,0.3400005102157593
사랑을 피하여,청소하실 레옹?,8,0.34061822295188904
사랑을 피하여,다정종합병원,9,0.3424416780471802
사랑을 피하여,신농사직설,10,0.3498852252960205
상아,오빠야 누나야,1,0.3317701816558838
상아,청소하실 레옹?,2,0.3362879753112793
상아,마이 러블리 투투,3,0.3722640872001648
상아,붉은실 월하,4,0.37970975041389465
상아,다정종합병원,5,0.39114198088645935
상아,어느날 절친이 남자가 되어버렸다,6,0.39608100056648254
상아,환생소녀,7,0.4016137719154358
상아,포근한 그 남자,8,0.4052867889404297
상아,내 최애가 위험해,9,0.41256293654441833
상아,사랑을 피하여,10,0.42057979106903076
상자 속 1/36,붉은실 월하,1,0.23582163453102112
상자 속 1/36,포근한 그 남자,2,0.2675535976886749
상자 속 1/36,악녀로 살라신다,3,0.30157271027565
상자 속 1/36,너에게 하고 싶은 말,4,0.305693119764328
상자 속 1/36,환생소녀,5,0.3159314692020416
상자 속 1/36,어느날 절친이 남자가 되어버렸다,6,0.31690657138824463
상자 속 1/36,실신남녀,7,0.34650328755378723
상자 속 1/36,청소하실 레옹?,8,0.3470882475376129
상자 속 1/36,오빠야 누나야,9,0.3586561679840088
상자 속 1/36,회귀했더니 가문이 망했다,10,0.3659803867340088
선비의 방,떨림,1,0.3981159031391144
선비의 방,마이 러블리 투투,2,0.4013274908065796
선비의 방,연화,3,0.4064623713493347
선비의 방,내 최애가 위험해,4,0.42742642760276794
선비의 방,다정종합병원,5,0.44203925132751465
선비의 방,청소하실 레옹?,6,0.4457079768180847
선비의 방,고삼무쌍,7,0.45409753918647766
선비의 방,사랑을 피하여,8,0.46014559268951416
선비의 방,오빠야 누나야,9,0.4605422019958496
선비의 방,너에게 하고 싶은 말,10,0.4638413190841675
신농사직설,환생소녀,1,0.3287646472454071
신농사직설,고삼무쌍,2,0.3435181677341461
신농사직설,사랑을 피하여,3,0.3498852252960205
신농사직설,엘리트 공주님의 수석지침서,4,0.3500613272190094
신농사직설,내 최애가 위험해,5,0.35071736574172974
신농사직설,너에게 하고 싶은 말,6,0.3548314869403839
신농사직설,악녀에게 의리가 어디 있어,7,0.35765987634658813
신농사직설,강도하 청춘 시리즈,8,0.3583252429962158
신농사직설,야수,9,0.3596269190311432
신농사직설,40억 vs 1,10,0.3706662058830261
실신남녀,환생소녀,1,0.31500378251075745
실신남녀,포근한 그 남자,2,0.31544262170791626
실신남녀,악녀로 살라신다,3,0.32051196694374084
실신남녀,어느날 절친이 남자가 되어버렸다,4,0.32601627707481384
실신남녀,악녀에게 의리가 어디 있어,5,0.32678499817848206
실신남녀,오빠야 누나야,6,0.33690303564071655
실신남녀,상자 속 1/36,7,0.34650328755378723
실신남녀,엘리트 공주님의 수석지침서,8,0.3499976098537445
실신남녀,여기사는 더 이상 검을 들지 않았다,9,0.3501121401786804
실신남녀,너에게 하고 싶은 말,10,0.3569223880767822
심술100단 시리즈,전학생은 외계인,1,0.5053023099899292
심술100단 시리즈,이현세 극화시리즈,2,0.5596219301223755
심술100단 시리즈,오세영 창작 극화 시리즈,3,0.575203001499176
